,Median,Mean,Min,Max,95CIlo,95CIup
CL,0.996923,0.99626906,0.936742,1.06393,0.9899947522871217,1.0025433677128783
V,0.487917,0.550464437,0.01,2.48039,0.44433162019467176,0.6565972538053283
Q,0.7007144999999999,1288.002021198,0.0296508,128726.0,-1234.9665289392165,3810.9705713352164
Vp,1.306295,1.234144681,0.0748331,1.7187,1.1682308428584953,1.3000585191415048
Ka,0.623902,0.67808529,0.324274,1.81408,0.624431845167148,0.7317387348328519
BCL,0.969178,0.96826972,0.803407,1.13802,0.9555451703395237,0.9809942696604763
BV,1.947905,4.18683538,0.01,13.2316,3.330382279725733,5.043288480274267
BQ,0.01,0.400386286,0.01,3.56507,0.2618785585371293,0.5388940134628706
BVp,0.814689,0.87112975,0.366651,3.45944,0.8117493531503296,0.9305101468496705
BKa,0.6878675,0.609699119,0.01,1.81771,0.5364581694438526,0.6829400685561473
RUV,1.709745,1.8236177,1.19763,2.96187,1.7479392212853704,1.8992961787146296
